# Kaynak: IBB Acik Veri Portali - Ilcelere Gore Dogalgaz Kullanim Sinifi Bazinda
#   Kullanici Sayisi ve Tuketim Miktari (yayinci: IGDAS)
# URL: https://data.ibb.gov.tr/dataset/istanbul-ilceleri-dogalgaz-kullanim-sinifi-kullanici-sayisi-tuketim-miktari
# CKAN resource id: 86bc29a5-751a-4e83-a9de-0a103da94483 (indirilen dosya formati: XLSX,
#   sheet=Report; portaldaki son guncelleme tarihi: 2026-02-24)
# Cekilme tarihi: 2026-08-20
# Filtre: Yil=2025, Kullanici Sinifi=MESKEN (Ticari/Sanayi/Resmi vb. disarida birakildi)
# Kolonlar orijinal basliklardan degistirilmeden: ilce, kullanim_sinifi,
#   kullanici_sayisi (Tuketim Yapan Gaz Kullanici Sayisi, Sayac-Adet),
#   tuketim_m3 (Duzeltilmis Tuketim, m3)
#
# ACIK SORU - COZULMEDI: portalda kullanici_sayisi (sayac-adet) kolonunun tam olarak
# neyi olctugune dair bir metodoloji notu yok (yillik farkli sayac mi, donem ici bir
# ortalama mi, vb.). Ornegin tek basina OCAK+KOMBI kategorisinin 2025 Istanbul mesken
# sayac toplami (4.436.039) Adim 1 populasyon modelinin uretttigi Istanbul kombi hane
# sayisindan (2.643.287) belirgin sekilde yuksek -- bu sayi dogrudan kullanilmadan once
# (merkezi_pay/penetrasyon hesabinda) ayrica arastirilacak, burada VARSAYILMADI.
ilce,kullanim_sinifi,kullanici_sayisi,tuketim_m3
ATAŞEHİR,OCAK+SOBA+KOMBİ+ŞOFBEN,2,3020.34318455259
ATAŞEHİR,OCAK+SOBA+ŞOFBEN,143,115743.389016904
ATAŞEHİR,OCAK+ŞOFBEN,102,65587.127589206
ATAŞEHİR,OCAK+ŞOFBEN+SOBA+KOMBİ+KAZAN,1,260.162959172045
ATAŞEHİR,OCAK+ŞOFBEN+SOBA+MERKEZİ,1,128.403480676941
ATAŞEHİR,SOBA,10,4191.56495759534
ATAŞEHİR,SOBA+KOMBİ,8,6443.6752255462
ATAŞEHİR,ŞOFBEN,2,69485.432003214
ATAŞEHİR,ŞOFBEN+MERKEZİ,39,89085.6899592256
ATAŞEHİR,ŞOFBEN+SOBA,1,686.24414953695
AVCILAR,KASKAT KOMBİ,40,2811799.26430969
AVCILAR,KASKAT KOMBİ+OCAK,3,7589.56702268233
AVCILAR,KOMBİ,266,193990.762723813
AVCILAR,MERKEZİ ISINMA,186,11764896.8402605
AVCILAR,MERKEZİ ISINMA+BOYLER,18,982510.685133645
AVCILAR,MERKEZİ ISINMA+OCAK,7884,525852.953926685
AVCILAR,MERKEZİ+OCAK+KOMBİ,142,32465.2547470331
AVCILAR,MERKEZİ+OCAK+ŞOFBEN,557,122297.314850483
AVCILAR,OCAK,237,48557.9130253389
AVCILAR,OCAK+KOMBİ,120994,98042760.6103263
AVCILAR,OCAK+SOBA,4525,2665600.12157319
AVCILAR,OCAK+SOBA+KOMBİ,14503,13681624.9284125
AVCILAR,OCAK+SOBA+KOMBİ+ŞOFBEN,1,770.396521547337
AVCILAR,OCAK+SOBA+ŞOFBEN,418,308853.75008591
AVCILAR,OCAK+ŞOFBEN,152,46473.0756187713
AVCILAR,OCAK+ŞOFBEN+KOMBİ,6,5246.84093555268
AVCILAR,SOBA,16,6637.07151693179
AVCILAR,SOBA+KOMBİ,8,7263.60655433403
AVCILAR,ŞOFBEN+SOBA,2,1240.03767493159
BAHÇELİEVLER,KASKAT KOMBİ,8,418286.066123877
BAHÇELİEVLER,KOMBİ,226,185054.004446768
BAHÇELİEVLER,KOMBİ+MERKEZİ,1,499.761674153853
BAHÇELİEVLER,MERKEZİ ISINMA,482,13889685.2967871
BAHÇELİEVLER,MERKEZİ ISINMA+BOYLER,4,68174.4429662628
BAHÇELİEVLER,MERKEZİ ISINMA+OCAK,2369,166654.656700418
BAHÇELİEVLER,MERKEZİ+OCAK+KOMBİ,1144,319417.144516139
BAHÇELİEVLER,MERKEZİ+OCAK+SOBA,2,247.092256993812
BAHÇELİEVLER,MERKEZİ+OCAK+ŞOFBEN,6724,1464734.96040446
BAHÇELİEVLER,OCAK,316,74817.4513246081
BAHÇELİEVLER,OCAK+KOMBİ,175745,139384192.256504
BAHÇELİEVLER,OCAK+SOBA,3969,2017873.10677314
BAHÇELİEVLER,OCAK+SOBA+KOMBİ,3422,2653027.76441224
BAHÇELİEVLER,OCAK+SOBA+KOMBİ+MERKEZİ,1,96.2568714989831
BAHÇELİEVLER,OCAK+SOBA+ŞOFBEN,223,135647.611072757
BAHÇELİEVLER,OCAK+ŞOFBEN,82,48458.0134595974
BAHÇELİEVLER,OCAK+ŞOFBEN+KOMBİ,4,1618.29194524778
BAHÇELİEVLER,SOBA,20,8687.88647640042
BAHÇELİEVLER,SOBA+KOMBİ,3,2775.33283261537
BAHÇELİEVLER,ŞOFBEN,2,3648.89005560514
BAHÇELİEVLER,ŞOFBEN+MERKEZİ,19,3196.94284214148
BAKIRKÖY,KASKAT KOMBİ,7,55677.170399364
BAKIRKÖY,KASKAT KOMBİ+OCAK,7,59697.03010164
BAKIRKÖY,KOMBİ,876,1227148.3452067
BAKIRKÖY,KOMBİ+MERKEZİ,19,22161.6369172659
BAKIRKÖY,MERKEZİ ISINMA,1489,44587781.1368376
BAKIRKÖY,MERKEZİ ISINMA+BOYLER,74,3983965.50278938
BAKIRKÖY,MERKEZİ ISINMA+OCAK,12841,830843.321640232
BAKIRKÖY,MERKEZİ+OCAK+KOMBİ,1760,413231.324847892
BAKIRKÖY,MERKEZİ+OCAK+SOBA,17,51511.1130472198
BAKIRKÖY,MERKEZİ+OCAK+ŞOFBEN,9394,1761268.29208206
BAKIRKÖY,OCAK,1134,195907.209580741
BAKIRKÖY,OCAK+KOMBİ,48328,47384693.9171369
BAKIRKÖY,OCAK+SOBA,716,344734.520738562
BAKIRKÖY,OCAK+SOBA+KOMBİ,118,144486.686009588
BAKIRKÖY,OCAK+SOBA+KOMBİ+MERKEZİ,2,151.282399237877
BAKIRKÖY,OCAK+SOBA+ŞOFBEN,50,28746.8150170451
BAKIRKÖY,OCAK+ŞOFBEN,225,152081.124208573
BAKIRKÖY,OCAK+ŞOFBEN+KOMBİ,4,6000.8965119297
BAKIRKÖY,OCAK+ŞOFBEN+KOMBİ+MERKEZİ,1,98.5672665034398
BAKIRKÖY,SOBA,33,14991.409568751
BAKIRKÖY,SOBA+KOMBİ,2,5579.50930970599
BAKIRKÖY,SOBA+MERKEZİ,1,325.107389162723
BAKIRKÖY,ÜRETİM+MERKEZİ ISINMA,1,5573.94457147807
BAKIRKÖY,ŞOFBEN,2,657.49956749861
BAKIRKÖY,ŞOFBEN+MERKEZİ,47,7273.41334411245
BAKIRKÖY,ŞOFBEN+SOBA+MERKEZİ,1,79.0887271091284
BAYRAMPAŞA,KASKAT KOMBİ,5,277439.713677769
BAYRAMPAŞA,KOMBİ,181,141698.715176429
BAYRAMPAŞA,MERKEZİ ISINMA,37,4263383.28846003
BAYRAMPAŞA,MERKEZİ ISINMA+OCAK,3810,234440.002124657
BAYRAMPAŞA,MERKEZİ+OCAK+KOMBİ,20,15038.475755029
BAYRAMPAŞA,MERKEZİ+OCAK+SOBA,3,303.684090974464
BAYRAMPAŞA,MERKEZİ+OCAK+ŞOFBEN,111,27128.3662754816
BAYRAMPAŞA,OCAK,299,93091.4808132747
BAYRAMPAŞA,OCAK+KOMBİ,74614,62205929.1663817
BAYRAMPAŞA,OCAK+SOBA,7583,3993186.90759023
BAYRAMPAŞA,OCAK+SOBA+KOMBİ,5151,4243880.66646859
BAYRAMPAŞA,OCAK+SOBA+KOMBİ+ŞOFBEN,3,950.845436973193
BAYRAMPAŞA,OCAK+SOBA+ŞOFBEN,1870,1242579.57515525
BAYRAMPAŞA,OCAK+ŞOFBEN,50,31271.6896502017
BAYRAMPAŞA,OCAK+ŞOFBEN+KOMBİ,7,6522.13821079304
BAYRAMPAŞA,OCAK+ŞOFBEN+SOBA+MERKEZİ,1,192.806695490127
BAYRAMPAŞA,SOBA,45,24569.4673147551
BAYRAMPAŞA,SOBA+KOMBİ,3,2130.37887972253
BAYRAMPAŞA,ŞOFBEN+SOBA,2,1202.28493410884
BAĞCILAR,KASKAT KOMBİ,8,583108.979766034
BAĞCILAR,KOMBİ,208,174424.744938525
BAĞCILAR,KOMBİ+MERKEZİ,1,1603.55034414046
BAĞCILAR,MERKEZİ ISINMA,233,18362398.8360528
BAĞCILAR,MERKEZİ ISINMA+BOYLER,4,425726.852861853
BAĞCILAR,MERKEZİ ISINMA+OCAK,4098,304876.538657592
BAĞCILAR,MERKEZİ+OCAK+KOMBİ,18,16188.3455488356
BAĞCILAR,MERKEZİ+OCAK+ŞOFBEN,3930,871841.841913971
BAĞCILAR,OCAK,505,165139.706771866
BAĞCILAR,OCAK+KOMBİ,182019,157358628.04161
BAĞCILAR,OCAK+SOBA,10756,5952381.89981151
BAĞCILAR,OCAK+SOBA+KOMBİ,15576,13358190.9048785
BAĞCILAR,OCAK+SOBA+KOMBİ+ŞOFBEN,3,2222.52975356043
BAĞCILAR,OCAK+SOBA+ŞOFBEN,541,378007.7637294
BAĞCILAR,OCAK+ŞOFBEN,121,49473.887484557
BAĞCILAR,SOBA,25,9512.61383703578
BAĞCILAR,SOBA+KOMBİ,5,4793.11448641634
BAĞCILAR,ŞOFBEN+MERKEZİ,2,58.103680687718
BAĞCILAR,ŞOFBEN+SOBA,1,609.882669718651
BAŞAKŞEHİR,KASKAT KOMBİ,113,1289422.68694519
BAŞAKŞEHİR,KASKAT KOMBİ+OCAK,1,1310.56476734901
BAŞAKŞEHİR,KOMBİ,975,1091416.31595936
BAŞAKŞEHİR,KOMBİ+MERKEZİ,75,1517939.6959577
BAŞAKŞEHİR,MERKEZİ ISINMA,981,57481446.0451778
BAŞAKŞEHİR,MERKEZİ ISINMA+BOYLER,283,11099230.6056842
BAŞAKŞEHİR,MERKEZİ ISINMA+OCAK,42985,3722201.28402829
BAŞAKŞEHİR,MERKEZİ+OCAK+KOMBİ,19,6072.22319516399
BAŞAKŞEHİR,MERKEZİ+OCAK+ŞOFBEN,10645,2443659.59099604
BAŞAKŞEHİR,OCAK,171,309563.602681851
BAŞAKŞEHİR,OCAK+KOMBİ,70814,68644002.0661215
BAŞAKŞEHİR,OCAK+SOBA,3580,2398977.64006303
BAŞAKŞEHİR,OCAK+SOBA+KOMBİ,5949,6671718.03138142
BAŞAKŞEHİR,OCAK+SOBA+ŞOFBEN,475,429037.820689737
BAŞAKŞEHİR,OCAK+ŞOFBEN,110,34898.9230992873
BAŞAKŞEHİR,OCAK+ŞOFBEN+KOMBİ,3,7081.82713974978
BAŞAKŞEHİR,SOBA,12,4381.11036638073
BAŞAKŞEHİR,SOBA+KOMBİ,4,8155.98599137871
BAŞAKŞEHİR,ŞOFBEN+MERKEZİ,6,823.180230663939
BEYKOZ,KASKAT KOMBİ,14,114557.260328217
BEYKOZ,KASKAT KOMBİ+OCAK,19,102820.525253007
BEYKOZ,KASKAT KOMBİ+OCAK+SOBA,1,7455.1496133987
BEYKOZ,KOMBİ,1866,5771788.97004469
BEYKOZ,KOMBİ+MERKEZİ,4,39832.1907918564
BEYKOZ,MERKEZİ ISINMA,170,4528555.71179682
BEYKOZ,MERKEZİ ISINMA+BOYLER,1,6953.42137200803
BEYKOZ,MERKEZİ ISINMA+OCAK,187,705693.901269471
BEYKOZ,MERKEZİ+OCAK+KOMBİ,72,442384.667410229
BEYKOZ,MERKEZİ+OCAK+SOBA,4,46149.0976772564
BEYKOZ,MERKEZİ+OCAK+ŞOFBEN,32,8899.3500544134
BEYKOZ,OCAK,236,141922.84948789
BEYKOZ,OCAK+KOMBİ,79641,96042107.0977726
BEYKOZ,OCAK+SOBA,1031,750392.392321555
BEYKOZ,OCAK+SOBA+KOMBİ,1084,1451313.15656281
BEYKOZ,OCAK+SOBA+ŞOFBEN,267,225780.67787772
BEYKOZ,OCAK+ŞOFBEN,106,56567.7078601448
BEYKOZ,OCAK+ŞOFBEN+KOMBİ,14,72174.2993123678
BEYKOZ,SOBA,28,17807.4876499016
BEYKOZ,SOBA+KOMBİ,28,111578.570272812
BEYKOZ,SOBA+KOMBİ+MERKEZİ,1,9170.69198773978
BEYKOZ,SOBA+MERKEZİ,2,10506.8591992431
BEYKOZ,ÜRETİM+MERKEZİ ISINMA,2,18485.5322990673
BEYKOZ,ŞOFBEN,2,156.881974237794
BEYKOZ,ŞOFBEN+MERKEZİ,1,240.625426650222
BEYKOZ,ŞOFBEN+SOBA,3,1399.37400303239
BEYLİKDÜZÜ,KASKAT KOMBİ,9,180068.249283126
BEYLİKDÜZÜ,KASKAT KOMBİ+OCAK,1,5448.84392025446
BEYLİKDÜZÜ,KOMBİ,581,609957.246611843
BEYLİKDÜZÜ,KOMBİ+MERKEZİ,1,9.4981259307078
BEYLİKDÜZÜ,MERKEZİ ISINMA,436,30718833.8179094
BEYLİKDÜZÜ,MERKEZİ ISINMA+BOYLER,56,4915220.84629517
BEYLİKDÜZÜ,MERKEZİ ISINMA+OCAK,12645,871769.111328534
BEYLİKDÜZÜ,MERKEZİ+OCAK+KOMBİ,519,107303.827284497
BEYLİKDÜZÜ,MERKEZİ+OCAK+SOBA,1,97.43282237656
BEYLİKDÜZÜ,MERKEZİ+OCAK+ŞOFBEN,6892,1490541.89619073
BEYLİKDÜZÜ,OCAK,216,86122.974960352
BEYLİKDÜZÜ,OCAK+KOMBİ,115590,100127215.178822
BEYLİKDÜZÜ,OCAK+SOBA,246,282604.793142241
BEYLİKDÜZÜ,OCAK+SOBA+KOMBİ,806,805568.449159578
BEYLİKDÜZÜ,OCAK+SOBA+KOMBİ+MERKEZİ,1,99.6330475235435
BEYLİKDÜZÜ,OCAK+SOBA+ŞOFBEN,11,6754.39217372485
BEYLİKDÜZÜ,OCAK+ŞOFBEN,165,44349.7051683111
BEYLİKDÜZÜ,OCAK+ŞOFBEN+KOMBİ,15,42613.4148279625
BEYLİKDÜZÜ,SOBA,3,718.320735826915
BEYLİKDÜZÜ,SOBA+KOMBİ,3,2575.77867678644
BEYLİKDÜZÜ,ŞOFBEN+MERKEZİ,19,2034.21650607234
BEYLİKDÜZÜ,ŞOFBEN+SOBA,4,2273.69425418166
BEYOĞLU,KASKAT KOMBİ,46,409267.052013634
BEYOĞLU,KASKAT KOMBİ+OCAK,2,5563.96198639501
BEYOĞLU,KOMBİ,1651,1374024.00393681
BEYOĞLU,KOMBİ+MERKEZİ,8,9412.28837454284
BEYOĞLU,MERKEZİ ISINMA,357,5249340.41994622
BEYOĞLU,MERKEZİ ISINMA+BOYLER,9,158194.599417423
BEYOĞLU,MERKEZİ ISINMA+OCAK,889,54999.9733394223
BEYOĞLU,MERKEZİ+OCAK+KOMBİ,162,97312.4186169012
BEYOĞLU,MERKEZİ+OCAK+SOBA,3,331.971913386935
BEYOĞLU,MERKEZİ+OCAK+ŞOFBEN,1102,70463.6413467451
BEYOĞLU,OCAK,209,70305.9903452205
BEYOĞLU,OCAK+KOMBİ,70270,57283259.9217269
BEYOĞLU,OCAK+SOBA,1436,805960.546830568
BEYOĞLU,OCAK+SOBA+KOMBİ,542,438490.480875083
BEYOĞLU,OCAK+SOBA+KOMBİ+MERKEZİ,1,979.473778414127
BEYOĞLU,OCAK+SOBA+ŞOFBEN,101,70572.9499164947
BEYOĞLU,OCAK+ŞOFBEN,37,21541.2093194148
BEYOĞLU,OCAK+ŞOFBEN+KOMBİ,3,3941.50526297645
BEYOĞLU,OCAK+ŞOFBEN+SOBA+MERKEZİ,1,137.633547206424
BEYOĞLU,SOBA,25,12360.4959095055
BEYOĞLU,ŞOFBEN,6,4139.30150431032
BEYOĞLU,ŞOFBEN+MERKEZİ,7,580.498577858728
BEYOĞLU,ŞOFBEN+SOBA,3,3382.83715979565
BEŞİKTAŞ,KASKAT KOMBİ,57,730909.871415506
BEŞİKTAŞ,KASKAT KOMBİ+OCAK,27,602979.408520959
BEŞİKTAŞ,KOMBİ,1822,2781073.69955278
BEŞİKTAŞ,KOMBİ+MERKEZİ,30,69566.9289661002
BEŞİKTAŞ,MERKEZİ ISINMA,2108,59519134.7532576
BEŞİKTAŞ,MERKEZİ ISINMA+BOYLER,287,8326847.5136104
BEŞİKTAŞ,MERKEZİ ISINMA+OCAK,4384,629007.829915279
BEŞİKTAŞ,MERKEZİ+OCAK+KOMBİ,900,349252.927095287
BEŞİKTAŞ,MERKEZİ+OCAK+SOBA,10,975.86282248274
BEŞİKTAŞ,MERKEZİ+OCAK+ŞOFBEN,5231,925398.508605964
BEŞİKTAŞ,OCAK,375,849050.297203383
BEŞİKTAŞ,OCAK+KOMBİ,36581,34006129.5105025
BEŞİKTAŞ,OCAK+SOBA,592,362981.79876972
BEŞİKTAŞ,OCAK+SOBA+KOMBİ,72,124157.616605873
BEŞİKTAŞ,OCAK+SOBA+ŞOFBEN,85,51542.5428606617
BEŞİKTAŞ,OCAK+ŞOFBEN,239,100244.599237589
BEŞİKTAŞ,OCAK+ŞOFBEN+KOMBİ,5,11398.2846773015
BEŞİKTAŞ,OCAK+ŞOFBEN+KOMBİ+MERKEZİ,1,60.8127733505357
BEŞİKTAŞ,OCAK+ŞOFBEN+SOBA+MERKEZİ,4,948.902654756342
BEŞİKTAŞ,SOBA,43,24614.3160181997
BEŞİKTAŞ,SOBA+KOMBİ,14,38948.5526310482
BEŞİKTAŞ,SOBA+MERKEZİ,1,0
BEŞİKTAŞ,ŞOFBEN,3,6482.92612842843
BEŞİKTAŞ,ŞOFBEN+KOMBİ,3,1941.35142778559
BEŞİKTAŞ,ŞOFBEN+MERKEZİ,79,12219.9965771469
BÜYÜKÇEKMECE,KASKAT KOMBİ,24,625200.891781404
BÜYÜKÇEKMECE,KASKAT KOMBİ+OCAK,11,75769.2165196322
BÜYÜKÇEKMECE,KOMBİ,1980,5008792.35238583
BÜYÜKÇEKMECE,KOMBİ+MERKEZİ,5,72412.9564733898
BÜYÜKÇEKMECE,MERKEZİ ISINMA,246,10447072.4812536
BÜYÜKÇEKMECE,MERKEZİ ISINMA+BOYLER,38,1833978.56501864
BÜYÜKÇEKMECE,MERKEZİ ISINMA+OCAK,4771,723279.931623132
BÜYÜKÇEKMECE,MERKEZİ+OCAK+KOMBİ,168,62038.8418402467
BÜYÜKÇEKMECE,MERKEZİ+OCAK+SOBA,6,46041.4422499146
BÜYÜKÇEKMECE,MERKEZİ+OCAK+ŞOFBEN,853,178825.395567004
BÜYÜKÇEKMECE,OCAK,373,224598.145084356
BÜYÜKÇEKMECE,OCAK+KOMBİ,93576,91801257.3419007
BÜYÜKÇEKMECE,OCAK+SOBA,1558,949467.198038609
BÜYÜKÇEKMECE,OCAK+SOBA+KOMBİ,4297,4870269.95351775
BÜYÜKÇEKMECE,OCAK+SOBA+KOMBİ+MERKEZİ,1,11040.3061308567
BÜYÜKÇEKMECE,OCAK+SOBA+KOMBİ+ŞOFBEN,3,8720.78044844518
BÜYÜKÇEKMECE,OCAK+SOBA+ŞOFBEN,178,120513.688535378
BÜYÜKÇEKMECE,OCAK+ŞOFBEN,140,27159.6098026411
BÜYÜKÇEKMECE,OCAK+ŞOFBEN+KOMBİ,12,19966.524763775
BÜYÜKÇEKMECE,SOBA,19,8530.1248764085
BÜYÜKÇEKMECE,SOBA+KOMBİ,24,100853.806281278
BÜYÜKÇEKMECE,SOBA+KOMBİ+MERKEZİ,1,13566.8652776982
BÜYÜKÇEKMECE,ÜRETİM+MERKEZİ ISINMA,1,11644.8236260174
BÜYÜKÇEKMECE,ŞOFBEN+KOMBİ,2,5852.58545624223
BÜYÜKÇEKMECE,ŞOFBEN+SOBA,3,3921.17170965813
ESENLER,KASKAT KOMBİ,38,766472.183348701
ESENLER,KOMBİ,56,36340.0959091131
ESENLER,MERKEZİ ISINMA,115,6808811.52722927
ESENLER,MERKEZİ ISINMA+BOYLER,8,301942.10323756
ESENLER,MERKEZİ ISINMA+OCAK,3705,304413.387728846
ESENLER,MERKEZİ+OCAK+KOMBİ,13,5854.56467271901
ESENLER,MERKEZİ+OCAK+SOBA,1,5.30110280004718
ESENLER,MERKEZİ+OCAK+ŞOFBEN,4755,866686.296150885
ESENLER,OCAK,264,75009.8918303206
ESENLER,OCAK+KOMBİ,107285,87160763.9067875
ESENLER,OCAK+SOBA,9745,5083774.48906647
ESENLER,OCAK+SOBA+KOMBİ,12413,10110799.0079808
ESENLER,OCAK+SOBA+KOMBİ+MERKEZİ,1,2090.57919320081
ESENLER,OCAK+SOBA+ŞOFBEN,572,389321.734975513
ESENLER,OCAK+ŞOFBEN,29,16107.4701189985
ESENLER,OCAK+ŞOFBEN+KOMBİ,1,0
ESENLER,SOBA,27,14751.8565393969
ESENLER,SOBA+KOMBİ,6,4697.70610043714
ESENLER,ŞOFBEN+MERKEZİ,1,19.9858698380383
ESENLER,ŞOFBEN+SOBA,1,552.382850284335
ESENYURT,KASKAT KOMBİ,60,2364054.36962058
ESENYURT,KOMBİ,1425,854244.583209324
ESENYURT,KOMBİ+MERKEZİ,4,340715.728988511
ESENYURT,MERKEZİ ISINMA,469,56241335.3683163
ESENYURT,MERKEZİ ISINMA+BOYLER,10,1003632.07537345
ESENYURT,MERKEZİ ISINMA+OCAK,20252,1082545.78106441
ESENYURT,MERKEZİ+OCAK+KOMBİ,52,16619.7392970147
ESENYURT,MERKEZİ+OCAK+ŞOFBEN,2834,755236.045226256
ESENYURT,OCAK,407,105767.531537031
ESENYURT,OCAK+KOMBİ,281901,220611279.236966
ESENYURT,OCAK+SOBA,4109,2299658.93184373
ESENYURT,OCAK+SOBA+KOMBİ,16729,14899809.3940548
ESENYURT,OCAK+SOBA+ŞOFBEN,437,323340.455082248
ESENYURT,OCAK+ŞOFBEN,51,35188.9233043414
ESENYURT,OCAK+ŞOFBEN+KOMBİ,2,1229.00686273959
ESENYURT,SOBA,20,8905.01622878214
ESENYURT,SOBA+KOMBİ,4,3509.54477433465
ESENYURT,ŞOFBEN+MERKEZİ,23,1495.73464830881
ESENYURT,ŞOFBEN+SOBA,2,1275.1474902005
EYÜPSULTAN,KASKAT KOMBİ,45,1379127.13899424
EYÜPSULTAN,KASKAT KOMBİ+OCAK,4,10322.1114586792
EYÜPSULTAN,KOMBİ,872,2031363.57433233
EYÜPSULTAN,KOMBİ+MERKEZİ,7,168017.177542983
EYÜPSULTAN,MERKEZİ ISINMA,433,22044030.2901377
EYÜPSULTAN,MERKEZİ ISINMA+BOYLER,11,939814.876979999
EYÜPSULTAN,MERKEZİ ISINMA+OCAK,8568,604253.862357273
EYÜPSULTAN,MERKEZİ+OCAK+KOMBİ,50,37675.2058268025
EYÜPSULTAN,MERKEZİ+OCAK+SOBA,5,384.260073122166
